"Month","Year","MonYr","T_mean","T_min","T_max","S_mean","S_min","S_max"
11,2003,"11/2003",22.6890977929551,22.1,23.8672933788652,28.846241389459,25.738724168377,30.5
11,2004,"11/2004",23.0916451153659,22.1,24.1749353460976,28.3003740826613,23.0011222479839,31.1
11,2005,"11/2005",22.0007309202525,21.2021927607576,22.4,30.2637106136318,25.9911318408955,32.6
11,2006,"11/2006",20.6906045751634,20.3,21.0718137254902,29.1664672717822,27.1994018153465,30.2
11,2007,"11/2007",18.6561769757732,15.75,21.5623539515464,32.0901785714286,30.6003571428571,33.58
11,2008,"11/2008",16.3420257351961,15.02,18.8581029407843,33.1291563531436,30.4666254125743,34.11
11,2009,"11/2009",22.1391427204023,21.7,23.0565708816092,31.6691470587647,28.1765882350588,33.2
11,2010,"11/2010",20.0090589569643,19,21.6362358278571,31.8526792800765,28.3107171203061,33.3
11,2011,"11/2011",22.4396902920361,20.9587611681443,23.2,30.3673771258673,25.9695085034694,32.9
11,2012,"11/2012",21.1968534482184,20.9874137928736,21.4,29.1106800765805,24.3427203063218,31.7
11,2013,"11/2013",22.9133528646094,22.7534114584375,23,31.3100608975,25.74024359,33.8
11,2014,"11/2014",20.8533854167151,20.3135416668605,21.2,29.9243180717442,24.7972722869767,32.6
11,2015,"11/2015",26.2384831460674,26.2384831460674,26.2384831460674,23.8979166669318,23.8979166669318,23.8979166669318
11,2016,"11/2016",22.4650276360204,21.9,23.2601105440816,30.379374999898,25.1174999995918,32.5
11,2017,"11/2017",20.8454320652446,20.3,21.8817282609783,28.4209130435054,24.0836521740217,31.4
12,2002,"12/2002",17.9939524081845,17.6,18.2,26.660580747036,26.5817422411081,26.8
12,2003,"12/2003",17.0225756575669,15.9,18.6677269727007,28.8872526679473,25.7617580038418,30.6
12,2004,"12/2004",21.0997049343478,19.7991148030435,21.8,28.0630758109855,23.9892274329565,30.4
12,2005,"12/2005",17.2337906418066,16.7,17.9013719254198,30.1640011222475,27.2920033667424,31.9
12,2006,"12/2006",19.6808296879265,19.4,20.0424890637795,30.1716214639895,27.7148643919685,31.7
12,2007,"12/2007",18.2715590958824,16.3,21.0862363835294,35.026754675396,31.1070187015842,36.8
12,2008,"12/2008",18.93824768525,17.452990741,19.8,28.9994762731667,28.1,30.8979050926667
12,2009,"12/2009",20.5974358974038,20.1897435896154,21,32.0410603633814,28.9642414535256,33.5
12,2010,"12/2010",10.564196306543,9.4,12.3567852261721,31.7076323428689,28.3305293714754,33.2
12,2011,"12/2011",20.0893207186927,19.7572828747706,20.8,30.2709224005734,26.6836896022936,32.1
12,2012,"12/2012",22.056614583375,21.3264583335,22.7,29.757491666675,26.1299666667,32.1
12,2013,"12/2013",18.867021977967,18,19.8680879118681,30.9766648148333,25.4066592593333,33.6
12,2014,"12/2014",17.1067149390854,16.6,18.1268597563415,29.5561026423171,23.6244105692683,33.3
12,2015,"12/2015",22.5629749632106,21.9408247424742,23.4,30.646407920277,25.8248554419388,34.7
12,2016,"12/2016",21.2502171985638,21,21.5008687942553,30.5449157801862,25.0796631207447,32.8
12,2017,"12/2017",20.156433964596,20,20.6257358583838,30.2234095117172,25.5936380468687,32.9
