Site,Date,Month,Year,MonYr,Station,Location,Latitude,Longitude,Time,Depth,Temp,Sal,DO_mg/l,DO,Sampling_Depth,Secchi,Per_Secchi
TB,3/28/2006,3,2006,3/2006,2,Indian Key,27.69903333,-82.69238333,9:00,0.9,18.2,35,Z,Z,Surface,0.9,100
TB,3/28/2006,3,2006,3/2006,5,Tarpon Key,27.66063333,-82.691,8:20,1.8,18.2,34.3,Z,Z,Surface,1.8,100
TB,4/25/2006,4,2006,4/2006,2,Indian Key,27.69903333,-82.69238333,8:16,1.5,27.6,34.7,Z,Z,Surface,1,66.7
TB,4/25/2006,4,2006,4/2006,5,Tarpon Key,27.66063333,-82.691,8:54,1,27.5,35,Z,Z,Surface,1,100
TB,6/2/2006,6,2006,6/2006,2,Indian Key,27.69903333,-82.69238333,8:50,1,27.9,33.9,Z,Z,Surface,1,100
TB,6/2/2006,6,2006,6/2006,5,Tarpon Key,27.66063333,-82.691,8:20,2,28.2,34.7,Z,Z,Surface,2,100
TB,6/22/2006,6,2006,6/2006,2,Indian Key,27.69903333,-82.69238333,9:05,1.5,28.8,35.3,Z,Z,Surface,1.5,100
TB,6/22/2006,6,2006,6/2006,5,Tarpon Key,27.66063333,-82.691,8:37,2.25,30.1,35.1,Z,Z,Surface,1.25,55.6
TB,7/20/2006,7,2006,7/2006,2,Indian Key,27.69903333,-82.69238333,9:40,1,30.2,34.4,Z,Z,Surface,1,100
TB,7/20/2006,7,2006,7/2006,5,Tarpon Key,27.66063333,-82.691,9:00,2,30.6,34.7,Z,Z,Surface,2,100
TB,8/7/2006,8,2006,8/2006,2,Indian Key,27.69903333,-82.69238333,8:15,1.5,30.3,32.6,Z,Z,Surface,1.5,100
TB,8/7/2006,8,2006,8/2006,5,Tarpon Key,27.66063333,-82.691,8:45,2.5,30.6,32.9,Z,Z,Surface,2,80
TB,9/5/2006,9,2006,9/2006,2,Indian Key,27.69903333,-82.69238333,9:08,1.5,28.2,30.7,Z,Z,Surface,1.5,100
TB,9/5/2006,9,2006,9/2006,5,Tarpon Key,27.66063333,-82.691,11:03,2.5,29.7,31.1,Z,Z,Surface,2,80
TB,10/2/2006,10,2006,10/2006,2,Indian Key,27.69903333,-82.69238333,8:25,1.25,27.4,30.5,Z,Z,Surface,1.25,100
TB,10/2/2006,10,2006,10/2006,5,Tarpon Key,27.66063333,-82.691,9:27,2.5,27.49,30,Z,Z,Surface,2.5,100
TB,10/30/2006,10,2006,10/2006,2,Indian Key,27.69903333,-82.69238333,8:54,1.35,Z,Z,Z,Z,Surface,1.35,100
TB,10/30/2006,10,2006,10/2006,5,Tarpon Key,27.66063333,-82.691,10:00,1,Z,Z,Z,Z,Surface,1,100
TB,11/30/2006,11,2006,11/2006,2,Indian Key,27.69903333,-82.69238333,8:04,1.25,20.3,30.1,Z,Z,Surface,1.25,100
TB,11/30/2006,11,2006,11/2006,5,Tarpon Key,27.66063333,-82.691,9:21,2,20.7,30.2,Z,Z,Surface,2,100
TB,12/18/2006,12,2006,12/2006,2,Indian Key,27.69903333,-82.69238333,8:10,1,19.4,31.7,Z,Z,Surface,1,100
TB,12/18/2006,12,2006,12/2006,5,Tarpon Key,27.66063333,-82.691,8:31,1.3,19.6,31.1,Z,Z,Surface,1.3,100
TB,1/17/2007,1,2007,1/2007,2,Indian Key ,27.69903333,-82.69238333,8:05,0.25,19.54,32.55,Z,Z,Surface,0.25,100
TB,1/17/2007,1,2007,1/2007,5,Tarpon Key,27.66063333,-82.691,9:08,1.5,19.81,31.83,Z,Z,Surface,1.5,100
TB,2/14/2007,2,2007,2/2007,2,Indian Key ,27.69903333,-82.69238333,8:27,1,17.78,30,Z,Z,Surface,1,100
TB,2/14/2007,2,2007,2/2007,5,Tarpon Key,27.66063333,-82.691,9:00,1.5,17.81,30.1,Z,Z,Surface,1.5,100
TB,3/12/2007,3,2007,3/2007,1,Indian Key ,27.69983333,-82.69508333,8:11,1.5,19.73,29.82,Z,Z,Surface,1.5,100
TB,3/12/2007,3,2007,3/2007,2,Tarpon Key,27.69903333,-82.69238333,8:36,2,20.65,29.67,Z,Z,Surface,2,100
TB,3/12/2007,3,2007,3/2007,3,Ft. DeSoto,27.69898333,-82.69033333,8:57,2,20.26,31.32,Z,Z,Surface,2,100
TB,4/17/2007,4,2007,4/2007,1,Indian Key ,27.69983333,-82.69508333,10:15,3,Z,Z,Z,Z,Surface,2,66.7
TB,4/17/2007,4,2007,4/2007,3,Tarpon Key,27.66,-82.68733333,9:20,2,Z,Z,Z,Z,Surface,2,100
TB,4/17/2007,4,2007,4/2007,5,Ft. DeSoto,27.64463333,-82.72221667,8:45,2,Z,Z,Z,Z,Surface,1,50
TB,5/15/2007,5,2007,5/2007,1,Indian Key ,27.69983333,-82.69508333,10:59,2,25.73,34.44,Z,Z,Surface,1.5,75
TB,5/15/2007,5,2007,5/2007,3,Tarpon Key,27.66,-82.68733333,10:45,2.8,25.56,33.75,Z,Z,Surface,1.5,53.6
TB,5/15/2007,5,2007,5/2007,5,Ft. DeSoto,27.64463333,-82.72221667,10:22,1.1,25.27,34.77,Z,Z,Surface,1.1,100
TB,6/12/2007,6,2007,6/2007,1,Indian Key ,27.69983333,-82.69508333,10:02,1.6,29.53,34.74,Z,Z,Surface,1.25,78.1
TB,6/12/2007,6,2007,6/2007,3,Tarpon Key,27.66,-82.68733333,9:45,3,29.81,34.98,Z,Z,Surface,1.25,41.7
TB,6/12/2007,6,2007,6/2007,5,Ft. DeSoto,27.64463333,-82.72221667,Z,Z,Z,Z,Z,Z,Surface,Z,Z
TB,7/17/2007,7,2007,7/2007,1,Indian Key ,27.69983333,-82.69508333,9:35,1.5,30.33,33.28,Z,Z,Surface,1,66.7
TB,7/17/2007,7,2007,7/2007,3,Tarpon Key,27.66,-82.68733333,9:22,2.75,30.25,33.44,Z,Z,Surface,1.5,54.5
TB,7/17/2007,7,2007,7/2007,5,Ft. DeSoto,27.64463333,-82.72221667,8:55,2,30.3,33.97,Z,Z,Surface,1.75,87.5
TB,8/15/2007,8,2007,8/2007,1,Indian Key ,27.69983333,-82.69508333,11:22,2,31.22,32.78,Z,Z,Surface,2,100
TB,8/15/2007,8,2007,8/2007,3,Tarpon Key,27.66,-82.68733333,11:01,2.5,30.94,32.35,Z,Z,Surface,2,80
TB,8/15/2007,8,2007,8/2007,5,Ft. DeSoto,27.64463333,-82.72221667,10:34,1,30.98,33.7,Z,Z,Surface,1,100
TB,9/17/2007,9,2007,9/2007,1,Indian Key ,27.69983333,-82.69508333,11:17,1.5,29.17,34.27,Z,Z,Surface,1.5,100
