"Bay","Year","Month","Quarter","variable","n","mean","sd"
"OTB","2010",5,"2","effort",9,30.751,16.095
"HB","2011",5,"2","effort",9,14.482,16.05
"LTB","2011",5,"2","effort",6,19.14,18.111
"MTB","2011",5,"2","effort",18,9.496,12.191
"OTB","2011",5,"2","effort",12,24.532,18.053
"HB","2012",5,"2","effort",2,7.41,0
"LTB","2012",5,"2","effort",2,28.01,18.653
"MTB","2012",5,"2","effort",13,10.934,13.939
"OTB","2012",5,"2","effort",5,33.24,17.799
"HB","2013",5,"2","effort",5,17.132,13.867
"LTB","2013",5,"2","effort",1,41.2,NA
"MTB","2013",5,"2","effort",12,16.537,15.019
"OTB","2013",5,"2","effort",3,23.863,15.019
"HB","2014",5,"2","effort",6,11.417,15.164
"LTB","2014",5,"2","effort",4,24.655,19.875
"MTB","2014",5,"2","effort",13,10.998,13.701
"OTB","2014",5,"2","effort",8,22.202,16.304
"HB","2015",5,"2","effort",6,14.388,14.201
"LTB","2015",5,"2","effort",3,19.14,20.249
"MTB","2015",5,"2","effort",18,12.712,15.902
"OTB","2015",5,"2","effort",4,11.095,6.473
"HB","2016",5,"2","effort",8,16.859,16.012
"LTB","2016",5,"2","effort",3,19.14,20.249
"MTB","2016",5,"2","effort",16,9.659,13.17
"OTB","2016",5,"2","effort",5,27.964,18.735
"HB","2017",5,"2","effort",7,18.217,16.338
"LTB","2017",5,"2","effort",4,27.64,15.669
"MTB","2017",5,"2","effort",13,9.942,10.128
"OTB","2017",5,"2","effort",2,21.3,28.143
"HB","2002",6,"2","effort",1,22.09,NA
"LTB","2002",6,"2","effort",4,31.645,11.033
"MTB","2002",6,"2","effort",9,16.304,11.614
"OTB","2002",6,"2","effort",2,41.2,0
"HB","2003",6,"2","effort",2,31.645,13.513
"LTB","2003",6,"2","effort",4,26.472,18.988
"MTB","2003",6,"2","effort",14,10.53,10.973
"OTB","2003",6,"2","effort",4,36.422,9.555
"HB","2004",6,"2","effort",4,17.845,17.954
"LTB","2004",6,"2","effort",10,25.754,12.425
"MTB","2004",6,"2","effort",13,9.913,8.965
"OTB","2004",6,"2","effort",7,35.74,9.325
"HB","2005",6,"2","effort",5,18.23,21.096
"LTB","2005",6,"2","effort",3,14.08,0.74
"MTB","2005",6,"2","effort",9,5,3.084
"OTB","2005",6,"2","effort",7,28.084,16.994
"HB","2006",6,"2","effort",1,5.93,NA
"LTB","2006",6,"2","effort",8,19.774,18.64
"MTB","2006",6,"2","effort",14,11.911,12.869
"OTB","2006",6,"2","effort",4,28.198,15.017
"HB","2007",6,"2","effort",5,6.2,5.877
"LTB","2007",6,"2","effort",5,21.502,18.6
"MTB","2007",6,"2","effort",17,15.806,17.093
"OTB","2007",6,"2","effort",11,16.596,16.69
"HB","2008",6,"2","effort",3,29.937,19.509
"LTB","2008",6,"2","effort",2,28.385,18.123
"MTB","2008",6,"2","effort",7,13.084,12.593
"OTB","2008",6,"2","effort",5,25.28,21.799
"HB","2009",6,"2","effort",1,41.2,NA
"LTB","2009",6,"2","effort",1,41.2,NA
"MTB","2009",6,"2","effort",2,7.04,0.523
"OTB","2009",6,"2","effort",3,14.667,22.979
"HB","2010",6,"2","effort",5,5.146,6.256
"LTB","2010",6,"2","effort",3,19.14,20.249
"MTB","2010",6,"2","effort",12,15.791,15.62
"OTB","2010",6,"2","effort",6,25.527,17.783
"HB","2011",6,"2","effort",8,14.534,17.162
"LTB","2011",6,"2","effort",4,27.825,15.447
"MTB","2011",6,"2","effort",17,11.631,12.181
"OTB","2011",6,"2","effort",11,23.219,18.012
"HB","2012",6,"2","effort",4,14.36,18.206
"LTB","2012",6,"2","effort",2,28.01,18.653
"MTB","2012",6,"2","effort",3,6.67,0
"OTB","2012",6,"2","effort",5,22.54,17.85
